
NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,Unnamed: 26
77,1,44,2:16.104,0,,1:01.194,0,45.841,0,29.069,0,108.1,1:05:41.578,13:16:26.153,1:01.194,0:45.841,0:29.069,,Julien Andlauer,0:01:04.933,GTDPRO,,AO Racing,Porsche,GF,
77,1,45,1:23.498,0,,10.555,0,43.877,0,29.066,0,176.2,1:07:05.076,13:17:49.651,0:10.555,0:43.877,0:29.066,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,46,1:41.912,0,,10.130,0,48.163,0,43.619,0,144.4,1:08:46.988,13:19:31.563,0:10.130,0:48.163,0:43.619,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,47,2:28.334,0,,13.417,0,1:17.261,0,57.656,0,99.2,1:11:15.322,13:21:59.897,0:13.417,1:17.261,0:57.656,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,48,1:31.081,0,,11.613,0,47.452,0,32.016,0,161.6,1:12:46.403,13:23:30.978,0:11.613,0:47.452,0:32.016,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,49,1:50.259,0,,10.905,0,46.447,0,52.907,0,133.5,1:14:36.662,13:25:21.237,0:10.905,0:46.447,0:52.907,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,50,1:47.739,0,,14.243,0,57.800,0,35.696,0,136.6,1:16:24.401,13:27:08.976,0:14.243,0:57.800,0:35.696,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,51,2:04.935,0,,12.100,0,53.173,0,59.662,0,117.8,1:18:29.336,13:29:13.911,0:12.100,0:53.173,0:59.662,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,52,2:47.142,0,,15.958,0,1:30.386,0,1:00.798,0,88.0,1:21:16.478,13:32:01.053,0:15.958,1:30.386,1:00.798,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,53,2:18.287,0,,23.891,0,1:10.575,0,43.821,0,106.4,1:23:34.765,13:34:19.340,0:23.891,1:10.575,0:43.821,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,54,1:27.984,0,,13.097,0,43.890,0,30.997,0,167.3,1:25:02.749,13:35:47.324,0:13.097,0:43.890,0:30.997,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,55,1:25.985,0,,12.429,0,43.552,0,30.004,0,171.1,1:26:28.734,13:37:13.309,0:12.429,0:43.552,0:30.004,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,56,1:25.111,0,,11.142,0,44.653,0,29.316,0,172.9,1:27:53.845,13:38:38.420,0:11.142,0:44.653,0:29.316,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,57,1:23.013,0,,10.899,0,43.564,0,28.550,0,177.3,1:29:16.858,13:40:01.433,0:10.899,0:43.564,0:28.550,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,58,1:24.234,0,,10.218,0,44.557,0,29.459,0,174.7,1:30:41.092,13:41:25.667,0:10.218,0:44.557,0:29.459,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,59,1:48.448,0,,10.994,0,1:06.010,0,31.444,0,135.7,1:32:29.540,13:43:14.115,0:10.994,1:06.010,0:31.444,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,60,1:23.748,0,,11.896,0,43.195,0,28.657,0,175.7,1:33:53.288,13:44:37.863,0:11.896,0:43.195,0:28.657,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,61,1:23.888,0,,10.233,0,43.997,0,29.658,0,175.4,1:35:17.176,13:46:01.751,0:10.233,0:43.997,0:29.658,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,62,1:35.894,0,,10.528,0,46.366,0,39.000,0,153.5,1:36:53.070,13:47:37.645,0:10.528,0:46.366,0:39.000,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,63,1:54.846,0,,13.642,0,1:02.875,0,38.329,0,128.1,1:38:47.916,13:49:32.491,0:13.642,1:02.875,0:38.329,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,64,1:25.827,0,,11.241,0,44.729,0,29.857,0,171.5,1:40:13.743,13:50:58.318,0:11.241,0:44.729,0:29.857,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,65,2:12.834,0,,10.990,0,58.936,0,1:02.908,0,110.8,1:42:26.577,13:53:11.152,0:10.990,0:58.936,1:02.908,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,FCY,
77,1,66,1:32.389,0,,13.614,0,48.200,0,30.575,0,159.3,1:43:58.966,13:54:43.541,0:13.614,0:48.200,0:30.575,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,67,1:22.983,0,,9.951,0,43.988,0,29.044,0,177.3,1:45:21.949,13:56:06.524,0:09.951,0:43.988,0:29.044,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,68,1:24.668,0,,9.968,0,46.013,0,28.687,0,173.8,1:46:46.617,13:57:31.192,0:09.968,0:46.013,0:28.687,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,69,1:24.316,0,,9.847,0,44.838,0,29.631,0,174.5,1:48:10.933,13:58:55.508,0:09.847,0:44.838,0:29.631,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,70,1:24.034,0,,10.403,0,45.186,0,28.445,0,175.1,1:49:34.967,14:00:19.542,0:10.403,0:45.186,0:28.445,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,71,1:21.928,0,,9.834,0,43.422,0,28.672,0,179.6,1:50:56.895,14:01:41.470,0:09.834,0:43.422,0:28.672,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,72,1:23.399,0,,10.330,0,44.594,0,28.475,0,176.5,1:52:20.294,14:03:04.869,0:10.330,0:44.594,0:28.475,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,73,1:23.519,0,,9.832,0,45.238,0,28.449,0,176.2,1:53:43.813,14:04:28.388,0:09.832,0:45.238,0:28.449,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,74,1:24.526,0,,9.855,0,45.964,0,28.707,0,174.1,1:55:08.339,14:05:52.914,0:09.855,0:45.964,0:28.707,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,75,1:26.354,0,,10.364,0,46.381,0,29.609,0,170.4,1:56:34.693,14:07:19.268,0:10.364,0:46.381,0:29.609,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,76,1:24.821,0,,10.767,0,45.331,0,28.723,0,173.5,1:57:59.514,14:08:44.089,0:10.767,0:45.331,0:28.723,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,77,1:22.047,0,,9.811,0,43.811,0,28.425,0,179.4,1:59:21.561,14:10:06.136,0:09.811,0:43.811,0:28.425,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,78,1:21.749,0,,9.854,0,43.215,0,28.680,0,180.0,2:00:43.310,14:11:27.885,0:09.854,0:43.215,0:28.680,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,79,1:23.073,0,,9.773,0,44.755,0,28.545,0,177.1,2:02:06.383,14:12:50.958,0:09.773,0:44.755,0:28.545,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,80,1:22.755,0,,9.895,0,44.305,0,28.555,0,177.8,2:03:29.138,14:14:13.713,0:09.895,0:44.305,0:28.555,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,81,1:22.833,0,,9.923,0,44.338,0,28.572,0,177.7,2:04:51.971,14:15:36.546,0:09.923,0:44.338,0:28.572,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,82,1:22.959,0,,9.969,0,44.446,0,28.544,0,177.4,2:06:14.930,14:16:59.505,0:09.969,0:44.446,0:28.544,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,83,1:21.373,0,,9.815,0,43.131,0,28.427,0,180.8,2:07:36.303,14:18:20.878,0:09.815,0:43.131,0:28.427,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,84,1:22.159,0,,9.860,0,43.837,0,28.462,0,179.1,2:08:58.462,14:19:43.037,0:09.860,0:43.837,0:28.462,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,85,1:21.454,0,,9.805,0,43.214,0,28.435,0,180.7,2:10:19.916,14:21:04.491,0:09.805,0:43.214,0:28.435,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,86,1:21.371,0,,9.786,0,43.137,0,28.448,0,180.8,2:11:41.287,14:22:25.862,0:09.786,0:43.137,0:28.448,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,87,1:21.668,0,,9.770,0,43.188,0,28.710,0,180.2,2:13:02.955,14:23:47.530,0:09.770,0:43.188,0:28.710,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,88,1:22.537,0,,10.325,0,43.749,0,28.463,0,178.3,2:14:25.492,14:25:10.067,0:10.325,0:43.749,0:28.463,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,89,1:22.271,0,,10.438,0,43.358,0,28.475,0,178.9,2:15:47.763,14:26:32.338,0:10.438,0:43.358,0:28.475,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,90,1:21.878,0,,10.188,0,43.138,0,28.552,0,179.7,2:17:09.641,14:27:54.216,0:10.188,0:43.138,0:28.552,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,91,1:22.138,0,,9.816,0,43.518,0,28.804,0,179.2,2:18:31.779,14:29:16.354,0:09.816,0:43.518,0:28.804,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,92,1:21.728,0,,10.010,0,43.286,0,28.432,0,180.1,2:19:53.507,14:30:38.082,0:10.010,0:43.286,0:28.432,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,93,1:32.088,0,B,9.798,0,44.212,0,38.078,0,159.8,2:21:25.595,14:32:10.170,0:09.798,0:44.212,0:38.078,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,94,5:08.735,0,B,1:24.998,0,2:33.238,0,1:10.499,0,47.7,2:26:34.330,14:37:18.905,1:24.998,2:33.238,1:10.499,,Julien Andlauer,0:01:25.381,GTDPRO,,AO Racing,Porsche,GF,
77,1,95,5:30.034,0,,4:15.734,0,45.533,0,28.767,0,44.6,2:32:04.364,14:42:48.939,4:15.734,0:45.533,0:28.767,,Julien Andlauer,0:04:22.021,GTDPRO,,AO Racing,Porsche,GF,
77,1,96,1:23.817,0,,10.071,0,44.365,0,29.381,0,175.6,2:33:28.181,14:44:12.756,0:10.071,0:44.365,0:29.381,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,97,1:22.799,0,,9.924,0,44.381,0,28.494,0,177.7,2:34:50.980,14:45:35.555,0:09.924,0:44.381,0:28.494,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,98,1:21.031,0,,9.682,0,42.893,0,28.456,0,181.6,2:36:12.011,14:46:56.586,0:09.682,0:42.893,0:28.456,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,99,1:21.167,0,,9.779,0,42.890,0,28.498,0,181.3,2:37:33.178,14:48:17.753,0:09.779,0:42.890,0:28.498,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,100,1:20.867,0,,9.711,0,42.721,0,28.435,0,182.0,2:38:54.045,14:49:38.620,0:09.711,0:42.721,0:28.435,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,101,1:21.154,0,,9.768,0,43.101,0,28.285,0,181.3,2:40:15.199,14:50:59.774,0:09.768,0:43.101,0:28.285,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,102,1:20.741,0,,9.751,0,42.690,0,28.300,0,182.3,2:41:35.940,14:52:20.515,0:09.751,0:42.690,0:28.300,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,103,1:22.404,0,,9.742,0,43.282,0,29.380,0,178.6,2:42:58.344,14:53:42.919,0:09.742,0:43.282,0:29.380,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,104,1:24.570,0,,10.155,0,45.910,0,28.505,0,174.0,2:44:22.914,14:55:07.489,0:10.155,0:45.910,0:28.505,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,105,1:21.155,0,,9.748,0,43.048,0,28.359,0,181.3,2:45:44.069,14:56:28.644,0:09.748,0:43.048,0:28.359,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,106,1:21.422,0,,9.759,0,43.137,0,28.526,0,180.7,2:47:05.491,14:57:50.066,0:09.759,0:43.137,0:28.526,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,107,1:24.123,0,,9.867,0,45.959,0,28.297,0,174.9,2:48:29.614,14:59:14.189,0:09.867,0:45.959,0:28.297,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,108,1:22.591,0,,9.919,0,44.566,0,28.106,0,178.2,2:49:52.205,15:00:36.780,0:09.919,0:44.566,0:28.106,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,109,1:21.109,0,,9.748,0,42.929,0,28.432,0,181.4,2:51:13.314,15:01:57.889,0:09.748,0:42.929,0:28.432,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,110,1:21.528,0,,9.734,0,43.201,0,28.593,0,180.5,2:52:34.842,15:03:19.417,0:09.734,0:43.201,0:28.593,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,111,1:22.750,0,,9.810,0,43.262,0,29.678,0,177.8,2:53:57.592,15:04:42.167,0:09.810,0:43.262,0:29.678,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,112,1:22.474,0,,10.169,0,43.905,0,28.400,0,178.4,2:55:20.066,15:06:04.641,0:10.169,0:43.905,0:28.400,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,113,1:21.440,0,,9.762,0,43.206,0,28.472,0,180.7,2:56:41.506,15:07:26.081,0:09.762,0:43.206,0:28.472,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,114,1:21.893,0,,9.762,0,43.825,0,28.306,0,179.7,2:58:03.399,15:08:47.974,0:09.762,0:43.825,0:28.306,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,115,1:23.216,0,,9.713,0,43.302,0,30.201,0,176.8,2:59:26.615,15:10:11.190,0:09.713,0:43.302,0:30.201,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,116,1:23.115,0,,11.161,0,43.495,0,28.459,0,177.1,3:00:49.730,15:11:34.305,0:11.161,0:43.495,0:28.459,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,117,1:21.683,0,,9.734,0,43.298,0,28.651,0,180.2,3:02:11.413,15:12:55.988,0:09.734,0:43.298,0:28.651,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,118,1:23.316,0,,9.981,0,44.338,0,28.997,0,176.6,3:03:34.729,15:14:19.304,0:09.981,0:44.338,0:28.997,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,119,1:21.387,0,,9.888,0,43.225,0,28.274,0,180.8,3:04:56.116,15:15:40.691,0:09.888,0:43.225,0:28.274,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,120,1:22.499,0,,9.759,0,43.642,0,29.098,0,178.4,3:06:18.615,15:17:03.190,0:09.759,0:43.642,0:29.098,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,121,1:22.499,0,,10.113,0,43.908,0,28.478,0,178.4,3:07:41.114,15:18:25.689,0:10.113,0:43.908,0:28.478,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,122,1:22.601,0,,10.078,0,43.961,0,28.562,0,178.2,3:09:03.715,15:19:48.290,0:10.078,0:43.961,0:28.562,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,123,1:21.267,0,,9.796,0,43.143,0,28.328,0,181.1,3:10:24.982,15:21:09.557,0:09.796,0:43.143,0:28.328,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,124,1:21.693,0,,9.846,0,43.086,0,28.761,0,180.1,3:11:46.675,15:22:31.250,0:09.846,0:43.086,0:28.761,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,125,1:23.381,0,,10.409,0,44.076,0,28.896,0,176.5,3:13:10.056,15:23:54.631,0:10.409,0:44.076,0:28.896,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,126,1:21.416,0,,9.948,0,43.065,0,28.403,0,180.7,3:14:31.472,15:25:16.047,0:09.948,0:43.065,0:28.403,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,127,1:21.294,0,,9.730,0,43.172,0,28.392,0,181.0,3:15:52.766,15:26:37.341,0:09.730,0:43.172,0:28.392,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
77,1,128,1:23.422,0,,9.807,0,44.550,0,29.065,0,176.4,3:17:16.188,15:28:00.763,0:09.807,0:44.550,0:29.065,,Julien Andlauer,,GTDPRO,,AO Racing,Porsche,GF,
